X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
585;301;0.3709466;0.339509;0.3709466;0.339509;394.3;0.1695686;False;2026-06-19 9:40:43 AM:446;1781854843446;;
641;380;0.4063693;0.4290151;0.5310337;0.687055;395.4;0.1716688;False;2026-06-19 9:40:43 AM:480;1781854843480;;
657;397;0.4163713;0.4472998;0.4865246;0.5671355;396.4;0.1718521;False;2026-06-19 9:40:43 AM:511;1781854843511;;
692;407;0.438637;0.4589075;0.5401288;0.5538824;397.0;0.1834192;False;2026-06-19 9:40:43 AM:546;1781854843546;;
715;414;0.4529619;0.4668716;0.5401304;0.5538646;397.5;0.18343;False;2026-06-19 9:40:43 AM:576;1781854843576;;
733;420;0.4643707;0.4736032;0.5401317;0.5538485;398.0;0.1834397;False;2026-06-19 9:40:43 AM:609;1781854843609;;
744;430;0.4717268;0.4842678;0.534392;0.5870098;397.8;0.1942655;False;2026-06-19 9:40:43 AM:644;1781854843644;;
753;437;0.4770942;0.4921184;0.5344136;0.5869881;397.6;0.1943062;False;2026-06-19 9:40:43 AM:676;1781854843676;;
771;444;0.4883986;0.5007084;0.5701343;0.6030697;396.1;0.1912529;False;2026-06-19 9:40:43 AM:709;1781854843709;;
784;450;0.4967005;0.5072651;0.570235;0.6030837;394.7;0.1912982;False;2026-06-19 9:40:43 AM:741;1781854843741;;
795;450;0.504039;0.5075796;0.5731634;0.549913;394.3;0.1826126;False;2026-06-19 9:40:43 AM:777;1781854843777;;
811;456;0.513656;0.514073;0.5931666;0.611127;393.8;0.1996568;False;2026-06-19 9:40:43 AM:810;1781854843810;;
831;462;0.526738;0.52133;0.6202791;0.627937;393.3;0.1997154;False;2026-06-19 9:40:43 AM:844;1781854843844;;
834;466;0.5287647;0.5251736;0.5754303;0.6121437;393.9;0.203044;False;2026-06-19 9:40:43 AM:879;1781854843879;;
837;468;0.5302424;0.5279763;0.5754294;0.6121606;394.5;0.2030368;False;2026-06-19 9:40:43 AM:909;1781854843909;;
